x0,x1
0.930069,-1.45
1.96977,-2.225
4.35421,-2.6125
7.03191,-2.73365
8.43191,-2.8248
9.19337,-2.90111
9.59437,-2.9494
9.79708,-2.97464
9.89853,-2.98732
9.94926,-2.99366
9.97463,-2.99683
9.98732,-2.99841
9.99366,-2.99921
9.99683,-2.9996
9.99841,-2.9998
9.99921,-2.9999
9.9996,-2.99995
9.9998,-2.99998
9.9999,-2.99999
9.99995,-2.99999
